id,value,type
hp keyview,0.0,1
sap clinical task tracker,0.0,1
sap netweaver enterprise portal,0.0,1
hancom hanword viewer 2007,0.0,1
sap sql anywhere,0.0,1
fli4l fli4l,0.0,1
arcserve arcserve unified data protection,0.0,1
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",9.4,0
landing pages project landing pages,0.0,1
dell netvault backup,0.0,1
gigpress gigpress,0.0,1
wavelink connectpro,0.0,1
newstatpress project newstatpress,0.0,1
hp version control repository manager,0.0,1
borland accurev,0.0,1
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",8.5,0
emc documentum thumbnail server,0.0,1
websitebaker websitebaker,0.0,1
samsung ipolis device manager,0.0,1
adb p.dga4001n,0.0,1
arj software arj archiver,0.0,1
cs-cart cs-cart,0.0,1
hp t5740e,0.0,1
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",4.6,0
oracle retail applications xstore,0.0,1
arubanetworks clearpass policy manager,0.0,1
atlassian hipchat,0.0,1
impero impero education pro,0.0,1
bisonware bisonftp,0.0,1
konicaminolta ftp utility,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",4.8,0
oracle javafx,0.0,1
structured dynamics open semantic framework,0.0,1
ibm maximo asset management,0.0,1
ibm websphere mq light,0.0,1
wavelink terminal emulation,0.0,1
mcafee threat intelligence exchange,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",6.3,0
cisco catalyst 6513-e,0.0,1
cisco telepresence tc software,0.0,1
cisco mds 9000 nx-os,0.0,1
cisco application and content networking system software,0.0,1
cisco network convergence system 6008,0.0,1
novell zenworks configuration management,0.0,1
mantisbt mantisbt,0.0,1
vmware fusion,0.0,1
siemens simatic s7 1200 cpu,0.0,1
siemens scalance x201-3p irt pro,0.0,1
yiiframework yiiframework,0.0,1
proftpd proftpd,0.0,1
ajax timeline project ajax timeline,0.0,1
fibonacciorange wedeal,0.0,1
facebook album fetcher project facebook album fetcher,0.0,1
path breadcrumbs project path breadcrumbs,0.0,1
topline systems opportunity form,0.0,1
mongodb mongodb,0.0,1
haxx curl,0.0,1
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",4.6,0
jakweb gecko cms,0.0,1
puppetlabs facter,0.0,1
elasticsearch elasticsearch,0.0,1
mediawiki mediawiki,0.0,1
sefrengo sefrengo,0.0,1
widgets project widgets,0.0,1
timedmediahandler project timedmediahandler,0.0,1
cisco unified intelligence center,0.0,1
cisco webex meetings server,0.0,1
cisco nexus 93128tx,0.0,1
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'PARTIAL')",4.0,0
siemens sicam mic,0.0,1
ibm security qradar incident forensics,0.0,1
audiosharescript audioshare,0.0,1
oracle virtualization sun ray,0.0,1
newphoria corporation auction camera,0.0,1
canon pixma mg7500 series inkjet printer,0.0,1
ntt-bp japan connected-free wi-fi,0.0,1
newphoria corporation 1.1,0.0,1
newphoria corporation reversi,0.0,1
digium asterisk,0.0,1
epignosis efront,0.0,1
webshophun webshop hun,0.0,1
profile2 privacy project profile2 privacy,0.0,1
blue coat ssl visibility appliance sv2800,0.0,1
cfdbplugin contact form db,0.0,1
visualware myconnection server,0.0,1
d-link dcs-931l,0.0,1
cisco asr 9922,0.0,1
microsoft xml core services,0.0,1
elasticsearch kibana,0.0,1
sap hana extend application services,0.0,1
synology photo station,0.0,1
mailbird mailbird,0.0,1
easyio easyio-30p-sf,0.0,1
invisionpower invision power board,0.0,1
cyberoam cr500ing-xp,0.0,1
open-xchange ox guard open-xchange ox guard,0.0,1
redhat openshift origin,0.0,1
sap sybase unwired platform online data proxy,0.0,1
microsoft office web apps,0.0,1
chiyutw bf-630w,0.0,1
boosted boosted boards,0.0,1
igreks milkystep professional oem,0.0,1
igreks milkystep light,0.0,1
f21 jwt,0.0,1
open explorer beta project open explorer beta,0.0,1
ubercart webform checkout pane project ubercart webform checkout pane,0.0,1
imagefield info project imagefield info,0.0,1
entitybulkdelete project entitybulkdelete,0.0,1
password policy project password policy,0.0,1
linear case project linear case,0.0,1
ibm bluemix,0.0,1
ibm websphere mq internet pass thru,0.0,1
ibm security siteprotector system,0.0,1
cisco web security virtual appliance,0.0,1
portfolio project portfolio,0.0,1
libvdpau project libvdpau,0.0,1
ippusbxd project ippusbxd,0.0,1
siemens simatic hmi multi panels,0.0,1
siemens wincc,0.0,1
typo3 neos,0.0,1
ca spectrum,0.0,1
simple ads manager project simple ads manager,0.0,1
drupal drupal,0.0,1
mozilla thunderbird,0.0,1
emc rsa archer egrc,0.0,1
emc document sciences xpression,0.0,1
emc rsa web threat detection,0.0,1
emc unified infrastructure manager%2fprovisioning,0.0,1
emc unisphere,0.0,1
ibm optim workload replay,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",5.4,0
yodobashi yodobashi,0.0,1
ibm infosphere master data management,0.0,1
ibm tivoli federated identity manager,0.0,1
ibm websphere datapower xc10 appliance firmware,0.0,1
ibm security access manager for web 8.0 firmware,0.0,1
pligg pligg cms,0.0,1
microsoft windows 10,0.0,1
reflex gallery project reflex gallery,0.0,1
ceph ceph-deploy,0.0,1
owncloud owncloud,0.0,1
kogmbh webodf,0.0,1
apache camel,0.0,1
cisco anyconnect secure mobility client,0.0,1
cisco edge 340,0.0,1
cisco ons 15454 system software,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'COMPLETE')",9.4,0
cisco unified computing system director,0.0,1
cisco prime network control system,0.0,1
cisco ios xr software,0.0,1
zohocorp manageengine eventlog analyzer,0.0,1
ghozylab gallery - photo albums - portfolio,0.0,1
microsoft sharepoint server,0.0,1
hp universal configuration management database,0.0,1
cisco application control engine 4700,0.0,1
wp smiley project wp smiley,0.0,1
actian matrix,0.0,1
cisco carrier routing system,0.0,1
apple xcode,0.0,1
beasts vsftpd,0.0,1
inetc project inetc,0.0,1
arubanetworks arubaos,0.0,1
blubrry powerpress podcasting,0.0,1
banner effect header project banner effect header,0.0,1
geo mashup project geo mashup,0.0,1
privoxy privoxy,0.0,1
igniterealtime openfire,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",3.3,0
libunwind project libunwind,0.0,1
kernel linux-pam,0.0,1
haxx libcurl,0.0,1
dream-multimedia-tv dreambox dm500-s,0.0,1
apphp hotel site,0.0,1
freebit elphonebtnv6 activex control,0.0,1
opendocman opendocman,0.0,1
net-snmp net-snmp,0.0,1
studio.gd gd infinite scroll,0.0,1
centreon centreon,0.0,1
dotnetnuke dotnetnuke,0.0,1
plainblack webgui,0.0,1
"('LOCAL', 'HIGH', 'NONE', 'NONE', 'NONE')",4.0,0
d-link dir-645,0.0,1
mcafee mcafee agent,0.0,1
d-link dap-1320,0.0,1
sierra wireless sierra wireless aircard 763s,0.0,1
zhone technologies gpon 2520,0.0,1
jabberd2 jabberd2,0.0,1
libidn project libidn,0.0,1
websense content gateway,0.0,1
symphony-cms symphony cms,0.0,1
schneider-electric wonderware system platform 2014,0.0,1
xceedium xsuite,0.0,1
tibco slingshot,0.0,1
sinapsi esolar light,0.0,1
redcarpet project redcarpet,0.0,1
siemens compas,0.0,1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",8.8,0
mediawiki checkuser,0.0,1
apache sling servlets post,0.0,1
wotlab community gallery,0.0,1
ocf sxf common library,0.0,1
zenphoto zenphoto,0.0,1
jammer project jammer,0.0,1
hp centralview fraud risk management,0.0,1
textangular textangular,0.0,1
field display label project field display label,0.0,1
log watcher project log watcher,0.0,1
wftpserver wing ftp server,0.0,1
wishlist project wishlist,0.0,1
citrix netscaler,0.0,1
batch jobs project batch jobs,0.0,1
das watchdog project das watchdog,0.0,1
clutter project clutter,0.0,1
cisco firepower extensible operating system,0.0,1
apple quicktime,0.0,1
cisco videoscape policy resource manager,0.0,1
"('NETWORK', 'HIGH', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",7.1,0
microsoft sql server,0.0,1
magnifica webscripts anima gallery,0.0,1
f5 big-ip wan optimization manager,0.0,1
ipsec-tools ipsec-tools,0.0,1
x2engine x2crm,0.0,1
cisco asyncos,0.0,1
ibm infosphere biginsights,0.0,1
openstack image registry and delivery service %28glance%29,0.0,1
cisco telepresence video communication server,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",5.7,0
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",4.4,0
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",3.3,0
belkin n300 dual-band wi-fi range extender,0.0,1
ibm case manager,0.0,1
redhat slapi-nis,0.0,1
gnu gnutls,0.0,1
fork-cms fork cms,0.0,1
microsoft lync server,0.0,1
microsoft skype for business server,0.0,1
juniper srx5800,0.0,1
cisco wireless lan controller,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",7.5,0
cisco unified web and e-mail interaction manager,0.0,1
cisco ip phone 7861,0.0,1
cisco hosted collaboration solution,0.0,1
zohocorp manageengine password manager pro,0.0,1
youtube embed project youtube embed,0.0,1
ubuntu vivid,0.0,1
solarwinds firewall security manager,0.0,1
sap rfc library,0.0,1
fortinet single sign on,0.0,1
cisco application visibility and control,0.0,1
s9y serendipity,0.0,1
cisco telepresence server on virtual machine,0.0,1
levelten interactive spotlight,0.0,1
milw0rm project milw0rm clone script,0.0,1
webform prepopulate block project webform prepopulate block,0.0,1
cisco telepresence mcu 4500 series software,0.0,1
cisco telepresence management suite,0.0,1
libpng libpng,0.0,1
pearson proctorcache,0.0,1
openinfosecfoundation suricata,0.0,1
network vision intravue,0.0,1
scadaengine bacnet opc server,0.0,1
elipse e3,0.0,1
magento magento,0.0,1
quick edit project quick edit,0.0,1
search api autocomplete project search api autocomplete,0.0,1
slimframework slim,0.0,1
entity api project entity api,0.0,1
web-dorado spider calendar,0.0,1
wp media cleaner project wp media cleaner,0.0,1
wonderplugin audio player,0.0,1
beehive forum beehive forum,0.0,1
dokuwiki dokuwiki,0.0,1
artifex afpl ghostscript,0.0,1
google email,0.0,1
yuba u5cms,0.0,1
elegant themes divi,0.0,1
dlguard dlguard,0.0,1
apptha wordpress video gallery,0.0,1
ptc creo view,0.0,1
the extensible catalog drupal toolkit project the extensible catalog drupal toolkit,0.0,1
linuxfoundation cups-filters,0.0,1
telerik analytics monitor library,0.0,1
sap ase database platform,0.0,1
akronymmanager project akronymmanager,0.0,1
timedoctor timedoctor,0.0,1
aftab tickfa,0.0,1
xzeres 442sr,0.0,1
rle nova-wind turbine hmi,0.0,1
phpmyadmin phpmyadmin,0.0,1
qemu qemu,0.0,1
redhat openshift,0.0,1
open-emr openemr,0.0,1
cisco telepresence system software ix,0.0,1
ibm rational quality manager,0.0,1
ibm rational engineering lifecycle manager,0.0,1
ibm leads,0.0,1
bittorrent bittorrent,0.0,1
ibm integration bus,0.0,1
cubecart cubecart,0.0,1
cisco 1000v,0.0,1
antlabs inngate ig 3100,0.0,1
honeywell tuxedo touch,0.0,1
goautodial goadmin ce,0.0,1
bittorrent sync,0.0,1
cisco webex node for mcs,0.0,1
cisco prime central for hosted collaboration solution assurance,0.0,1
novalnet novalnet payment module ubercart-,0.0,1
fortinet fortimail,0.0,1
nscripter project nscripter,0.0,1
neojapan desknet neo,0.0,1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",8.5,0
winace unace,0.0,1
netapp oncommand workflow automation,0.0,1
redhat mod cluster,0.0,1
open source point of sale project open source point of sale,0.0,1
drupalcommerce commerce commonwealth,0.0,1
workbench email project workbench email,0.0,1
cp reservation calender project cp reservation calender,0.0,1
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",4.0,0
rpcbind project rpcbind,0.0,1
mcafee advanced threat defense,0.0,1
kcodes netusb,0.0,1
tp-link tl-wdr3500 %281.0%29,0.0,1
juniper qfx5100,0.0,1
cisco 2900 integrated service router,0.0,1
cisco desktop collaboration experience dx650,0.0,1
cisco mds 9000,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",4.8,0
cisco nexus 9372tx,0.0,1
yoast wordpress seo,0.0,1
pfsense pfsense,0.0,1
coppermine-gallery coppermine photo gallery,0.0,1
phpipam phpipam,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'NONE')",4.7,0
cisco ids 4210,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",6.8,0
cisco c200 m1,0.0,1
serve-static project serve-static,0.0,1
apereo central authentication service,0.0,1
pixabay images project pixabay images,0.0,1
catbot project catbot,0.0,1
two pilots exif pilot,0.0,1
ajsquare zeuscart,0.0,1
sequelize project sequelize,0.0,1
zeuscart zeuscart,0.0,1
microsoft windows 2003 server,0.0,1
cisco telepresence ix5200,0.0,1
solarwinds server and application monitor,0.0,1
endian firewall endian firewall,0.0,1
siemens simatic wincc sm%40rtclient lite,0.0,1
komodia redirector sdk,0.0,1
etouch samepage,0.0,1
sap businessobjects edge,0.0,1
barracuda web filter,0.0,1
wt directory project wt directory,0.0,1
be user log project be user log,0.0,1
snorby snorby,0.0,1
frontend user upload project frontend user upload,0.0,1
job fair project job fair,0.0,1
swisscom centro grande %28adb%29 dsl,0.0,1
sis windows vga display manager,0.0,1
eventsentry eventsentry,0.0,1
polarssl polarssl,0.0,1
libav libav,0.0,1
qtranslate project qtranslate,0.0,1
ibm websphere extreme scale,0.0,1
blackberry blackberry link,0.0,1
watchdog aggregator project watchdog aggregator,0.0,1
ispconfig ispconfig,0.0,1
stageshow project stageshow,0.0,1
cisco prime infrastructure,0.0,1
"('LOCAL', 'MEDIUM', 'MULTIPLE_INSTANCES', 'PARTIAL', 'NONE')",1.3,0
gemalto safenet luna g5,0.0,1
ibm change and configuration management database,0.0,1
arduino json project arduino json,0.0,1
limesurvey limesurvey,0.0,1
datalex airline booking software,0.0,1
mcafee epolicy orchestrator,0.0,1
blue coat ssl visibility appliance sv800,0.0,1
antlabs inngate ig 3.01 e,0.0,1
blue coat ssl visibility appliance sv3800,0.0,1
rubygems rubygems,0.0,1
migrate project migrate,0.0,1
xml-libxml project xml libxml,0.0,1
lemon-s php twit bbs,0.0,1
content rating project content rating,0.0,1
ibm systems director,0.0,1
ocportal ocportal,0.0,1
genixcms genixcms,0.0,1
content rating extbase project content rating extbase,0.0,1
administration views project administration views,0.0,1
microsoft live meeting console,0.0,1
fieldable panels panes project fieldable panels panes,0.0,1
siemens ruggedcom rugged operating system on linux ii,0.0,1
storage api project storage api,0.0,1
inlinks project inlinks,0.0,1
redhat docker,0.0,1
codelogic freichat,0.0,1
phpliteadmin project phpliteadmin,0.0,1
arabportal arab portal,0.0,1
microsoft word web apps server,0.0,1
nvidia gpu driver r346,0.0,1
gsm sim card editor,0.0,1
holding pattern project holding pattern,0.0,1
unit4 teta web,0.0,1
prestashop prestashop,0.0,1
osticket osticket,0.0,1
infinite automation systems mango automation,0.0,1
webmin webmin,0.0,1
ferretcms project ferretcms,0.0,1
marked project marked,0.0,1
libreswan libreswan,0.0,1
libmimedir project libmimedir,0.0,1
restful project restful,0.0,1
lighttpd lighttpd,0.0,1
redhat thermostat,0.0,1
fuse project fuse,0.0,1
h5ai project h5ai,0.0,1
apache flex,0.0,1
microsoft office 2013,0.0,1
apache openoffice,0.0,1
fancyfon famoc,0.0,1
siphon siphone enterprise pbx,0.0,1
sma solar technology ag webbox firmware,0.0,1
polycom realpresence cloudaxis suite,0.0,1
softsphere defensewall personal firewall,0.0,1
redaxscript redaxscript,0.0,1
cybernetikz easy social icons,0.0,1
avatar uploader project avatar uploader,0.0,1
panopoly magic project panopoly magic,0.0,1
ilch cms,0.0,1
unit4 prosoft hrms,0.0,1
crossslide jquery project crossslide jquery,0.0,1
term queue project term queue,0.0,1
dell sonicwall secure remote access firmware,0.0,1
dounokouno transmitmail,0.0,1
kozos easyctf,0.0,1
rakus maildealer,0.0,1
kajona kajona,0.0,1
ids ids rtu 850c,0.0,1
faq-frequenty asked questions project faq-frequently asked questions,0.0,1
developer log project developer log,0.0,1
store locator project store locator,0.0,1
smoelenboek project smoelenboek,0.0,1
easy2map project easy2map,0.0,1
innominate mguard firmware,0.0,1
dolibarr dolibarr,0.0,1
getusedtoit wp slimstat,0.0,1
chromium chromium,0.0,1
pxz project pxz,0.0,1
standards based linux instrumentation sblim-sfcb,0.0,1
websense triton ap data,0.0,1
gnu patch,0.0,1
gnu cpio,0.0,1
pax project pax,0.0,1
kgb project kgb,0.0,1
zlib pigz,0.0,1
xiph vorbis-tools,0.0,1
alcatel-lucent omniswitch 6250,0.0,1
ibm rational doors next generation,0.0,1
documentcloud navis documentcloud,0.0,1
hp loadrunner,0.0,1
symantec web gateway,0.0,1
"('NETWORK', 'MEDIUM', 'MULTIPLE_INSTANCES', 'COMPLETE', 'COMPLETE')",7.9,0
"('ADJACENT_NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",2.7,0
hp capture and route software,0.0,1
alcatel-lucent cellpipe 7130 rg 5ae.m2013 hol,0.0,1
alcatel-lucent cellpipe 7130 router,0.0,1
grandstream gxv3611 hd,0.0,1
retrospect retrospect client,0.0,1
kaseya virtual system administrator,0.0,1
vestacp vesta control panel,0.0,1
avigilon avigilon control center,0.0,1
ghisler total commander,0.0,1
samsung sbeam,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",7.9,0
samsung galaxy s5,0.0,1
orchardproject orchard,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'COMPLETE')",6.1,0
iodata wn-g54%2fr2,0.0,1
guide-park bbs x102,0.0,1
rakuto rktsns2,0.0,1
type74 ed,0.0,1
adobe connect,0.0,1
adobe coldfusion,0.0,1
entityform block project entityform block,0.0,1
php kobo photo gallery cms free,0.0,1
rest-client project rest-client,0.0,1
alienvault unified security management,0.0,1
dell sonicwall sonicos,0.0,1
cisco nexus 7700,0.0,1
cisco content security management appliance,0.0,1
thycotic secret server,0.0,1
pivotal software redis,0.0,1
eliacom enhanced sql portal,0.0,1
web links project web links,0.0,1
"('ADJACENT_NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",7.7,0
mobile sliding menu project mobile sliding menu,0.0,1
webform matrix component project webform matrix component,0.0,1
juniper mag pcs360,0.0,1
navigate project navigate,0.0,1
shipwire api project shipwire api,0.0,1
pentaho business analytics,0.0,1
ciphercoin wp limit login attempts,0.0,1
securemoz securemoz security audit,0.0,1
tracking code project tracking code,0.0,1
apache struts,0.0,1
apache jackrabbit,0.0,1
microsoft biztalk server,0.0,1
cisco telepresence conductor,0.0,1
cisco application networking manager,0.0,1
cisco network analysis module 2304,0.0,1
cisco intrusion prevention system,0.0,1
cisco nexus 5020,0.0,1
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'NONE')",5.4,0
arubanetworks instant access point,0.0,1
sap netweaver j2ee engine,0.0,1
campaign monitor project campaign monitor,0.0,1
cisco telepresence server software,0.0,1
dulwich project dulwich,0.0,1
mysql-lite-administrator project mysql-lite-administrator,0.0,1
paypal currency converter basic for woocommerce project paypal currency converter basic for woocommerce,0.0,1
silverstripe silverstripe,0.0,1
h-fj mt-phpincgi,0.0,1
webgateinc edvr manager,0.0,1
webgate webgate embedded standard protocol sdk,0.0,1
webgateinc winrds,0.0,1
agilent technologies feature extraction,0.0,1
webgateinc webeyeaudio,0.0,1
sympies wordpress survey and poll,0.0,1
apache mod-gnutls,0.0,1
philippine long distance telephone kasda kw58293,0.0,1
philippine long distance telephone speedsurf 504an,0.0,1
semperfiwebdesign all in one seo pack,0.0,1
hidemaru editor,0.0,1
nishishi fumy teachers schedule board,0.0,1
flashy project flashy,0.0,1
lhaplus lhaplus,0.0,1
bblog project bblog,0.0,1
t1utils project t1utils,0.0,1
parityrate roomcloud,0.0,1
ruby-lang ruby,0.0,1
indusoft web studio,0.0,1
ansibleworks ansible,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",6.3,0
corel wordperfect,0.0,1
pacemaker%2fcorosync configuration system project pacemaker%2fcorosync configuration system,0.0,1
openstack kilo,0.0,1
phpwind phpwind,0.0,1
ibm rational team concert,0.0,1
geddyjs geddy,0.0,1
symantec deployment solution,0.0,1
bittorrent bootstrap-dht,0.0,1
chiyutw bf-660c,0.0,1
chiyu bf-660c,0.0,1
trend micro deep discovery inspector,0.0,1
"('LOCAL', 'HIGH', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",6.0,0
hp centralview credit risk control,0.0,1
tibco messaging appliance,0.0,1
tibco spotfire analytics platform for aws,0.0,1
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'COMPLETE')",4.7,0
microsoft virtual machine manager,0.0,1
digium certified asterisk,0.0,1
asus rt-n10%2bd1,0.0,1
hp centralview revenue leakage control,0.0,1
easing slider easing slider,0.0,1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",7.5,0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",5.5,0
"('LOCAL', 'HIGH', 'SINGLE_INSTANCE', 'NONE', 'NONE')",3.8,0
"('LOCAL', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",1.2,0
oracle e-business suite application management pack,0.0,1
sierrawireless airlink ls300,0.0,1
dell optiplex 990,0.0,1
conntrack-tools project conntrack-tools,0.0,1
wpmembership wpmembership,0.0,1
netiq security solutions for iseries,0.0,1
palo alto networks traps,0.0,1
freeipa freeipa,0.0,1
tuxfamily chrony,0.0,1
hotspotexpress hotex billing manager,0.0,1
mcafee enterprise security manager%2freceiver,0.0,1
twitter project twitter,0.0,1
cisco content services switch 11500,0.0,1
cisco prime data center network manager,0.0,1
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",4.3,0
oracle retail applications,0.0,1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'COMPLETE')",7.0,0
microsoft powerpoint viewer,0.0,1
microsoft vbscript,0.0,1
videolan vlc media player,0.0,1
wpml wpml,0.0,1
microsoft active directory federation services,0.0,1
adobe livecycle data services,0.0,1
f5 big-iq adc,0.0,1
simple subscription project simple subscription,0.0,1
certify project certify,0.0,1
blue coat malware analysis appliance,0.0,1
ninjaforms ninja forms,0.0,1
bomgar remote support,0.0,1
sharelatex sharelatex,0.0,1
antlabs inngate ig 3.10 g,0.0,1
commerce ogone project commerce ogone,0.0,1
samba ppp,0.0,1
huawei e587 mobile wifi,0.0,1
huawei e355s mobile wifi,0.0,1
trick question project trick question,0.0,1
f5 big-ip protocol security module,0.0,1
hp intelligent provisioning,0.0,1
hp system management homepage,0.0,1
hp operations manager i,0.0,1
hp arcsight logger,0.0,1
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'COMPLETE', 'NONE')",4.4,0
intelliants subrion cms,0.0,1
apache activemq,0.0,1
ibm maximo anywhere,0.0,1
church admin project church admin,0.0,1
wpbeginner floating social bar,0.0,1
nibbleblog nibbleblog,0.0,1
j2store j2store,0.0,1
creative-solutions contact form generator,0.0,1
teiko farol,0.0,1
cygnux syspass,0.0,1
feedwordpress project feedwordpress,0.0,1
encrypted contact form project encrypted contact form,0.0,1
emc rsa archer grc,0.0,1
valve steam,0.0,1
mozilla bugzilla,0.0,1
adobe air sdk %26 compiler,0.0,1
airties air 6372,0.0,1
cisco prime collaboration assurance,0.0,1
cisco prime collaboration provisioning,0.0,1
cisco edge bluebird operating system,0.0,1
fiverrscript fiverrscript,0.0,1
"('LOCAL', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",1.5,0
oracle commerce guided search and experience manager,0.0,1
ibm http server,0.0,1
apache standard taglibs,0.0,1
apache xerces-c,0.0,1
kankun smartsocket,0.0,1
openstack compute,0.0,1
ibm tivoli storage flashcopy manager,0.0,1
zend zend framework,0.0,1
xmlsoft libxml,0.0,1
redhat jboss bpm suite,0.0,1
samsung galaxy s6,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",2.9,0
schneider electric struxureware building expert mpm,0.0,1
microsoft malicious software removal tool,0.0,1
ows scald,0.0,1
drupaljedi amocrm,0.0,1
drupaldise cms updater,0.0,1
cisco asa cx context-aware security software,0.0,1
cisco spa 501g 8-line ip phone,0.0,1
cisco videoscape delivery system for internet streamer,0.0,1
cisco mobility services engine,0.0,1
oracle sql trace analyzer,0.0,1
oracle jd edwards products,0.0,1
ubuntu network-manager,0.0,1
libarchive libarchive,0.0,1
apache groovy,0.0,1
kiwix kiwix,0.0,1
libssh2 libssh2,0.0,1
zfcuser project zfcuser,0.0,1
7-zip p7zip,0.0,1
"('NETWORK', 'LOW', 'NONE', 'NONE', 'COMPLETE')",7.8,0
ceragon fiberair ip-10g,0.0,1
ipass ipass open mobile,0.0,1
labtech software labtech,0.0,1
lenovo thinkserver td350,0.0,1
trend micro scanmail,0.0,1
typo3 typo3,0.0,1
roaring penguin remind,0.0,1
mozilla seamonkey,0.0,1
sap hana web-based development workbench,0.0,1
sap netweaver java application server,0.0,1
apple mac os x server,0.0,1
zanematthew zm ajax login %26 register,0.0,1
elasticsearch logstash,0.0,1
gnu parallel,0.0,1
sap content server,0.0,1
thoughtbot paperclip,0.0,1
bonitasoft bonita bpm portal,0.0,1
boxautomation c2box,0.0,1
oscommerce oscommerce,0.0,1
asus rt-g32,0.0,1
debian dbd-firebird,0.0,1
hotspot express hotex billing manager,0.0,1
gnome byzanz,0.0,1
perfecto project perfecto,0.0,1
site documentation project site documentation,0.0,1
og tabs project og tabs,0.0,1
image title project image title,0.0,1
sqlite sqlite,0.0,1
webform multiple file upload project webform multiple file upload,0.0,1
crumbs project crumbs,0.0,1
cisco digital content manager,0.0,1
cisco prime network registrar,0.0,1
wideimage project wideimage,0.0,1
libevent project libevent,0.0,1
hp software update,0.0,1
metalgenix genixcms,0.0,1
kallithea kallithea,0.0,1
redhat kexec-tools,0.0,1
cisco ubr10000 cable modem termination system,0.0,1
icsgmbh pactware,0.0,1
views bulk operations project views bulk operations,0.0,1
x libxfont,0.0,1
me aliases project me aliases,0.0,1
microsoft powerpoint,0.0,1
microsoft system center operations manager 2012,0.0,1
codepeople appointment booking calendar,0.0,1
cisco catalyst 4510r%2be,0.0,1
cisco unified callmanager,0.0,1
oracle right now service cloud,0.0,1
content construction kit project content construction kit,0.0,1
debian unattended-upgrades,0.0,1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'COMPLETE')",4.9,0
linuxcontainers lxc,0.0,1
fusionforge fusionforge,0.0,1
redhat jboss enterprise portal platform,0.0,1
redhat libuser,0.0,1
redhat enterprise linux workstation,0.0,1
zohocorp manageengine admanager plus,0.0,1
shibboleth opensaml java,0.0,1
"('ADJACENT_NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",1.8,0
ntp ntp,0.0,1
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",4.3,0
d-link dsl-2730b,0.0,1
puppetlabs puppet,0.0,1
web-dorado spider facebook,0.0,1
avinu phpmoadmin,0.0,1
"('LOCAL', 'HIGH', 'NONE', 'COMPLETE', 'COMPLETE')",6.2,0
livelycart livelycart,0.0,1
cisco unified meetingplace web conferencing,0.0,1
i-o data device np-bbrm,0.0,1
