source,target,value
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",homepage decorator perltreebbs,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",nishishi fumy news clipper,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",shiromuku guestbook,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",saurus saurus cms,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",c-board moyuku project c-board moyuku,7.5
"('ADJACENT_NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",okb.co.jp smartphone passbook,1.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",siemens climatix bacnet%2fip,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",dell sonicwall netextender firmware,4.4
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",smart trim project smart trim,3.5
"('NETWORK', 'HIGH', 'NONE', 'PARTIAL', 'NONE')",strongswan strongswan,2.6
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",theeventscalendar eventbrite tickets,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",techsmith camtasia relay,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",dev4press gd bbpress attachments,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",dev4press gd bbpress attachments,4.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",oracle berkeley db,6.9
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle berkeley db,3.3
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle mysql,3.5
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",oracle solaris,4.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle hyperion,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",oracle mysql,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",vmware vcenter server,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",blackcat-cms blackcat cms,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",fedoraproject fedora,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",synology download station,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",nokia %40vantage commander,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",splunk splunk,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe air,0.0
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",xen xen,2.9
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",novell opensuse,5.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",apple iphone os,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",pcman%27s ftp server project pcman%27s ftp server,7.8
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows rt 8.1,7.2
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows vista,6.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",linux linux kernel,6.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox esr,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",mozilla firefox,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft internet explorer,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft internet explorer,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",microsoft internet explorer,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows vista,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",apple mac os x,7.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",apple iphone os,7.2
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",digitalnature fusion,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple mac os x,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple iphone os,5.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ffmpeg ffmpeg,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",zoneo-soft phptraffica,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",debian debian linux,3.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",wordpress wordpress,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",debian debian linux,4.3
