source,target,value
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jre,6.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle fusion middleware,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm db2,8.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm websphere application server,6.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",ibm powervc,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibm websphere application server,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",moxa eds-408a,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",moxa eds-408a,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'COMPLETE')",moxa eds-408a,8.5
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",endress%2bhauser hart comm dtm,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",registration codes project registration codes,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",3s-smart codesys gateway server,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ubercart discount coupons project ubercart discount coupons,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibc solar danfoss tlx pro%2b,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",resource data management data manager data manager,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft office compatibility pack,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft sharepoint designer,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft excel viewer,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows server 2012,3.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2012,0.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows rt 8.1,6.9
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows rt,7.2
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",openafs openafs,2.1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",openafs openafs,2.1
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",openafs openafs,4.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",haproxy haproxy,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft office compatibility pack,6.9
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",mysql mysql,4.9
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle solaris,2.1
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",oracle solaris,7.2
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",oracle mysql,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",novell suse linux sdk,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle supply chain products suite,6.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",microsoft windows,4.6
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",bolt bolt,6.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",oracle health sciences applications,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",oracle solaris,7.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",web-dorado web-dorado spider video player,5.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 1013,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco telepresence ip gateway,9.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 5700,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 5000,5.0
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco ios xe,6.1
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",cisco unified communications manager,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco unity connection,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",cisco unity connection,6.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco finesse,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",apple iphone os,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",insanevisions adaptcms,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",apple apple tv,4.3
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",apple iphone os,1.9
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple iphone os,5.4
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",refbase refbase,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",refbase refbase,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sensiolabs symfony,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hospira lifecare pca3,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",pimcore pimcore,4.9
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",beckhoff ipc diagnostics,9.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",views project views,4.9
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",views project views,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation applican,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",node invite project node invite,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",node invite project node invite,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",node invite project node invite,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",amazon aws project amazon aws,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",corner project corner,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",niif shibboleth authentication,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",quizzler project quizzler,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft internet explorer,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",microsoft internet explorer,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft edge,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",google chrome,4.3
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe acrobat,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe acrobat reader dc,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",adobe acrobat reader,0.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",apple mac os x,6.9
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",apple iphone os,4.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",apple safari,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",aas9 zerocms,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ektron ektron content management system,3.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",siemens ruggedcom win5200,0.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",dena h20,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",simon tatham putty,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",tcpdump tcpdump,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",tcpdump tcpdump,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",xen xen,1.9
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",debian debian linux,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",boxoft boxoft wav to mp3 converter,7.5
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",siemens spcanywhere,2.1
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",siemens spcanywhere,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",linux linux kernel,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens spcanywhere,5.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens spcanywhere,6.8
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",siemens simotion scout,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",siemens spcanywhere,4.3
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco firepower,6.1
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",joomla joomla%21,4.3
"('NETWORK', 'HIGH', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jdk,7.6
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",oracle jdk,4.3
"('NETWORK', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",oracle fusion middleware,2.6
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",oracle fusion middleware,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",oracle database server,6.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle e-business suite,4.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",kent-web joyful note,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",kent-web clip board,6.4
"('ADJACENT_NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",fca uconnect,8.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",solarwinds n-able n-central,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",octobercms october,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",synck graphica mailform pro cgi,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",zen-cart.jp zen cart,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",squid-cache squid,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",crear.ne.jp al-mail32,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'NONE')",iij seil%2fb1,7.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",fedoraproject fedora,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",checkpw project checkpw,5.0
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",toshiba service station,6.9
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",chaos tool suite project ctools,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",sap mobile platform,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",opsview opsview,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",gnu gnu screen,5.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",xcloner xcloner,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",iojs io.js,7.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",openstack glance,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",emc documentum centerstage,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",emc documentum taskspace,5.8
"('LOCAL', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",sap netweaver,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",sap afaria,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",mozilla firefox,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",sap netweaver,6.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",emc documentum taskspace,6.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",emc isilon onefs,9.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",emc recoverpoint for virtual machines,7.2
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",emc avamar server virtual edition,7.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",piriform ccleaner,2.1
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows vista,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",microsoft windows vista,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows rt,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft office web apps server,9.3
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft sharepoint foundation,9.3
"('LOCAL', 'LOW', 'NONE', 'NONE', 'PARTIAL')",microsoft windows 8.1,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",dell sonicwall global management system,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",sap hana,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",sap hana,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",openafs openafs,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",openafs openafs,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",webservice-dic yoyaku,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",webservice-dic yoyaku,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",seeds acmailer,5.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",lemon-s php simple oekaki,6.4
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",welcart welcart,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sysphonic thetis,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",research-artisan research artisan lite,5.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",lemon-s php gazou bbs plus,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",research-artisan research artisan lite,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",se html5 album audio player project se html5 album audio player,5.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hp hp-ux,7.2
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",nextend facebook connect,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",fedoraproject fedora,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'PARTIAL')",zohocorp manageengine netflow analyzer,5.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",hp thinpro linux,7.2
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hp webinspect,4.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibm business process manager,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",hp integrated lights-out 3 firmware,4.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",hp sdn van controller,7.8
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",ibm db2,6.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm business process manager,3.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",adobe acrobat,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",hp matrix operating environment,5.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",hp matrix operating environment,4.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",hp nonstop safeguard security,9.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'PARTIAL')",hp sitescope,8.7
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",hp network virtualization,7.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",sap sap netweaver application server java,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",alcatel-lucent omniswitch 6860,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",php php,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",canonical ubuntu linux,0.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",gnu glibc,0.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",novell opensuse,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",redhat enterprise virtualization manager,6.8
"('LOCAL', 'HIGH', 'NONE', 'NONE', 'PARTIAL')",canonical ubuntu linux,4.7
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",synology diskstation manager,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",oracle glassfish,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence isdn gw 3241,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence serial gateway,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence ip vcr 3.0,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence mcu software,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence advanced media gateway,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence ip gateway,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco telepresence mse 8000 series,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'NONE')",cisco unified computing system,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",sysaid sysaid,6.5
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",citrix netscaler gateway firmware,0.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",wpslideshow powerplay gallery,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",sysaid sysaid,5.0
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",emc isilon onefs,7.2
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",emc powerpath virtual appliance,5.0
"('ADJACENT_NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",siemens homecontrol for room automation,5.4
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",emc secure remote services,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",emc rsa validation manager,4.3
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",emc documentum xcelerated management system,2.1
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",emc rsa registration manager,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",emc rsa registration manager,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",emc rsa registration manager,7.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",google android,2.1
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",joomla joomla%21,7.5
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 1001,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation koritore,6.8
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",cisco identity services engine software,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",mcafee vulnerability manager,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",sysaid sysaid,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",newphoria corporation megaphone music,6.8
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",linux linux kernel,4.6
"('LOCAL', 'LOW', 'NONE', 'NONE', 'NONE')",oracle vm virtualbox,2.1
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",oracle database server,9.0
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",oracle jrockit,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",oracle mysql,7.5
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",oracle jre,7.2
"('LOCAL', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",oracle jdk,1.9
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle fusion middleware,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle e-business suite,4.0
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",oracle supply chain products suite,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'NONE')",oracle siebel crm,4.0
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'NONE')",ibm tivoli storage manager fastback,7.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",ibm websphere portal,7.8
"('NETWORK', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",ibm tivoli storage manager fastback,9.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",ibm infosphere master data management server,6.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",ibm websphere portal,3.5
"('LOCAL', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",ibm websphere virtual enterprise,4.4
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",resource data management data manager data manager,5.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'NONE')",ibc solar servemaster tlp%2b,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",ibc solar servemaster tlp%2b,4.3
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2012,7.2
"('LOCAL', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows server 2008,7.2
"('LOCAL', 'LOW', 'NONE', 'PARTIAL', 'NONE')",microsoft windows server 2012,2.1
"('LOCAL', 'MEDIUM', 'NONE', 'COMPLETE', 'COMPLETE')",microsoft windows 7,6.9
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'NONE')",novell suse linux sdk,3.5
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'PARTIAL', 'PARTIAL')",projectsend projectsend,6.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",web-dorado ecommerce wd,7.5
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",vastal phpvid,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",airties rt-210,4.3
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",novell suse linux sdk,5.0
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco unified meetingplace,6.8
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco firesight system software,5.8
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",cisco firesight system software,3.5
"('NETWORK', 'MEDIUM', 'NONE', 'PARTIAL', 'PARTIAL')",cisco secure access control server solution engine,6.8
"('NETWORK', 'LOW', 'NONE', 'COMPLETE', 'COMPLETE')",cisco unified computing system central software,0.0
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'COMPLETE', 'COMPLETE')",cisco unified meetingplace,9.0
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco unified meetingplace,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",cisco unified communications manager,4.3
"('NETWORK', 'LOW', 'SINGLE_INSTANCE', 'NONE', 'NONE')",cisco ios,6.8
"('NETWORK', 'LOW', 'NONE', 'NONE', 'NONE')",cisco asr 1000,5.0
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",google v8,7.5
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",e107 e107,4.3
"('NETWORK', 'MEDIUM', 'NONE', 'NONE', 'PARTIAL')",brother mfc-j4410dw,4.3
"('NETWORK', 'LOW', 'NONE', 'PARTIAL', 'PARTIAL')",web-dorado photo gallery,7.5
"('NETWORK', 'MEDIUM', 'SINGLE_INSTANCE', 'NONE', 'PARTIAL')",crea8social crea8social,3.5
